epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,534.915,1.15361,2.18425,1.30621,1.07453,0,0.8914,0.65217,0.79378,0.62921,0.93587,0.68116,0.82046,0.53359,1.01935,1.3517,1.77414,1.02733,0,0.000818494,0.000818494,0.000818494
30,558.539,0.99099,1.60127,1.14632,1.03889,0,0.9569,0.71014,0.8633,0.64888,0.93737,0.69565,0.85346,0.55639,1.0333,1.30305,1.63253,1.01458,0,0.000842344,0.000842344,0.000842344
31,584.456,0.99051,1.56627,1.02873,1.03194,0,0.9569,0.71014,0.8633,0.64888,0.93737,0.69565,0.85346,0.55639,1.0333,1.30305,1.63253,1.01458,0,0.000865865,0.000865865,0.000865865
32,608.837,1.25149,2.36394,1.28946,1.18057,0,0.95634,0.71014,0.87582,0.64502,0.95791,0.71014,0.86838,0.56632,1.01186,1.29785,1.55055,1.0088,0,0.000889055,0.000889055,0.000889055
33,630.819,1.10472,1.81603,0.98722,1.03953,0,0.94118,0.69564,0.83113,0.6199,0.96078,0.71013,0.85606,0.56431,1.00302,1.32949,1.53653,1.00304,0,0.000911916,0.000911916,0.000911916
34,655.682,1.09456,2.01431,1.12347,1.06295,0,0.94118,0.69564,0.83113,0.6199,0.96078,0.71013,0.85606,0.56431,1.00302,1.32949,1.53653,1.00304,0,0.000934446,0.000934446,0.000934446
35,675.435,1.16262,2.02023,1.03061,1.04679,0,0.96192,0.72464,0.85318,0.63436,0.92379,0.70277,0.8499,0.56674,0.95041,1.41142,1.51004,0.99077,0,0.000956646,0.000956646,0.000956646
36,696.703,0.97709,1.75621,1.00696,1.01783,0,0.90431,0.75362,0.85071,0.639,0.90431,0.75362,0.86261,0.58515,0.90707,1.33777,1.38476,0.97432,0,0.000978516,0.000978516,0.000978516
37,719.678,1.17027,2.10918,1.03514,1.08295,0,0.90431,0.75362,0.85071,0.639,0.90431,0.75362,0.86261,0.58515,0.90707,1.33777,1.38476,0.97432,0,0.00100006,0.00100006,0.00100006
38,740.214,0.93829,1.79309,1.04219,1.01116,0,0.91196,0.75064,0.84521,0.64119,0.89435,0.73615,0.84482,0.57057,0.93388,1.33258,1.33749,0.97921,0,0.00102127,0.00102127,0.00102127
39,761.694,1.01231,1.71109,1.06369,1.04004,0,0.93237,0.76812,0.83805,0.61377,0.94604,0.73913,0.8364,0.51841,1.02053,1.49466,1.37297,1.00501,0,0.00104215,0.00104215,0.00104215
40,780.146,1.02689,1.66077,1.02514,1.04422,0,0.93237,0.76812,0.83805,0.61377,0.94604,0.73913,0.8364,0.51841,1.02053,1.49466,1.37297,1.00501,0,0.0010627,0.0010627,0.0010627
41,804.899,0.96833,1.72855,1.01538,1.01472,0,0.89564,0.75362,0.83107,0.60143,0.9105,0.73721,0.81956,0.48112,1.04374,1.58199,1.38881,1.01368,0,0.00108292,0.00108292,0.00108292
42,825.704,1.13609,1.83699,0.98535,1.0517,0,0.89323,0.7971,0.84353,0.62482,0.8597,0.76812,0.82502,0.5216,0.99267,1.44362,1.34441,0.99975,0,0.00110281,0.00110281,0.00110281
